,sarcasm_label,emotion_label,sentiment_label,id,sentence_level_similarity_emotion,sentence_level_similarity_word,exclamation,AUDIO_1,AUDIO_2,AUDIO_3,AUDIO_4,AUDIO_5,AUDIO_6,AUDIO_7,AUDIO_8
6,0,anger,0,7,0.4180894854585909,0.9255489442650184,0,-1.2567563620706874,-0.32466216863783237,-0.6198377463818388,0.7632914584319469,1.60650987714207,0.005727972816925078,0.5660337501398379,1.4077107612627036
9,0,anger,0,10,0.8715966846386407,0.7489828891525295,0,-2.1082595735041023,1.2875964631632142,1.2343424278146926,-0.6823492330356835,0.3795165187538094,-0.976489566286474,0.1903502370229977,0.4824061751994357
10,0,anger,0,11,0.5052446180897461,0.96703208634848,0,-1.263542603271382,-0.10538652623124913,-0.07357888019545966,0.5062342997240287,-0.5299842280610448,-1.2328606560504987,-0.7648113847523401,1.2897397365520145
15,0,anger,0,16,0.4937045167274325,0.8775377187909037,1,-0.9536554969208269,-0.8024031842882893,2.2140536548279117,-0.05614454838352241,0.6033243884582512,0.3822514393209206,1.379858662826795,-0.7772012588576248
16,0,anger,0,17,0.0,0.0,0,1.9591299025513653,1.607408093644696,0.5983286485063596,-0.44642430627024526,-0.37366124991644406,-0.5861244684880843,-0.6851939445909235,0.6920505595195833
18,0,anger,0,19,0.970339429395408,0.871335154358614,0,-1.9955595708643878,-0.02438455567241474,0.9455541676989934,-0.7422053547279641,-1.1957760657045526,-0.6140364739968777,-0.2673592123418172,0.8997600697518837
19,0,anger,0,20,-0.7960560432636005,0.8800588898373923,0,-0.9265294670171228,0.19546713271951427,0.42382371987910394,0.8007216153040944,-0.8652999779498424,2.2250739275252176,-0.6787097997884699,-0.7691113330103042
24,0,anger,0,25,-0.92956486875455,0.951491563262075,0,-0.28723888710646633,-2.2652055244722558,0.020540563222508367,1.2693993802841037,0.5904763775351688,0.49019889312385934,-0.30038937790589226,0.6394973172880287
25,0,anger,0,26,-0.2102861486729192,0.7475890993412792,1,-1.0149267463178795,-2.538195533859561,-1.5978536996774413,-0.1105655264878512,-0.2467105859624711,0.301260529975095,0.19608089371709533,-1.0034511654332163
30,0,anger,0,31,0.0,0.0,1,0.8504269714062425,1.3731059631825913,1.4734771488366292,-0.23473453397149652,1.7828828724768604,-0.2106348184337586,-1.1411097357408335,-0.12838319717711497
33,0,anger,0,34,0.0,0.0,0,-1.5980935442155701,1.0212418389547697,1.7728782514657029,0.9730113200070852,-0.5397800974483697,-1.4197583911769027,0.3025433336706251,0.5732186238742141
38,0,anger,0,39,0.5811354281072467,0.5865626387317798,0,-3.218136486045374,1.339086236860558,1.929433952002187,0.8702042121581256,0.400079392068104,-0.6142001966214902,0.28989329121324436,-0.16258343815704746
45,0,anger,0,46,0.0,0.0,1,-1.1031636437005128,1.303454558114508,0.6536689031057795,1.207241896502629,-0.49602225499517055,-0.5253051598279732,-0.2038980847973855,-0.7070667334336314
46,0,anger,0,47,0.0,0.0,0,0.23695676227309098,-2.109301788624261,-2.594018246393088,-0.3832394212873797,1.780949865856945,-0.2634001262370881,0.23693695778905544,0.8608772305641388
